platform,title,channel,published_at,public_view_count,checked_at_utc,canonical_url,topic,primary_hook,inclusion_reason,verification_surface
YouTube,유럽 소매치기가 얼마나 심하냐면,테디여행기 TeddyTravelogue,2022-10-15T11:00:31Z,5587192,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=YYvbG7GrJfQ,여행 후기/장면,J 특정 상황의 실행 팁,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,"해외 한달살기 로망 실현! 아시아 5개국 비교 🌏치안 중심 아시아편 1분컷 요약 삿포로/치앙마이/발리/페낭/가오슝 | 총비용, 방문 최적기, 꿀팁",뚜벅뚜벅 서부남,2025-05-18T07:15:06Z,440067,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=KbFdCHxYtqE,장기여행/한달살기,A 선택 + 제약,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,"여행 하루 전, 두근두근 배낭 여행 짐싸기(ft. 해외 여행 노하우가 담긴 여행 필수품)",히시월드,2023-09-14T12:03:00Z,61529,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=aJjga338zc0,미니멀 여행,J 특정 상황의 실행 팁,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,"[경북 영양] ""나이 차이 좀 납니다"" 12살 차이 부부의 달랑 둘뿐인 산골 오지 살이｜찾아오는 사람 하나 없는데 민박집 차려놓고 8년째｜국내여행｜#한국기행 #방방곡곡",EBS 방방곡곡,2025-01-01T08:00:31Z,922919,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=_9rXpmHmQMI,부부 여행,F 관계의 마찰·합의,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,고민) 신혼여행 갔다 오니까 헤어지고 싶어,오늘도 숏츠,2023-07-12T13:00:45Z,920567,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=pZj8Wvji1Rk,신혼여행,F 관계의 마찰·합의,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,도쿄여행 3박4일 일정은 이대로만ㄱㄱ #도쿄여행 #도쿄 #도쿄여행브이로그 #일본여행 #가마쿠라 #도쿄타워 #도쿄디즈니랜드,렛츠고헤이즐,2024-02-19T14:22:29Z,648597,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=OmHRCwxfWP0,여행 기록,H 기록 방식 / 남긴 것,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,외국인들 사이에 유행하는 한국 여행갈때 짐싸는 법,30초돼지,2025-10-15T09:15:02Z,2968656,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=9UFpqJoUW0o,여행 준비/짐,J 특정 상황의 실행 팁,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,보라카이 여행의 실체,구아나,2025-02-01T12:30:10Z,5389355,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=AfLcoDv74CY,여행 후기/장면,J 특정 상황의 실행 팁,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,나 홀로 캘리포니아 준비 갈 완료•˖*✶🇺🇸 미국 샌디에고 어학연수 가기 전 짐 같이 싸요!🧺  진짜 맥시멀리시트의 장기여행 꿀템 공유 ੈ✩ + 미니 뷰티데이••🐬🍀,유정 YUJEONG,2024-07-20T03:00:33Z,312895,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=ki_Z9Ph1PbE,장기여행/한달살기,J 특정 상황의 실행 팁,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,해외여행 준비물 이것만 챙기면 끝! 위탁수하물 없이 캐리어 짐싸기 실전 팁 대방출✈️(+체크리스트 파일 공유),타이거투어 - 나만 알기 아까운 여행정보,2025-11-16T05:06:17Z,61076,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=MFrm4U8_QOQ,미니멀 여행,D 비용·짐·동선 절감,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,부부들은 왜 여행만 갔다 하면 유치하게 싸울까 [낭만부부],김해준,2026-02-25T10:02:46Z,832346,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=2gUtAcF6bTI,부부 여행,F 관계의 마찰·합의,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
